ReportNumber,ReportOrder,CategoryNumber
2,1,41
2,2,30
2,3,3
2,4,5
2,5,4
2,6,22
2,7,7
2,8,8
2,9,9
2,10,42
2,11,10
2,12,13
2,13,46
2,14,18
2,15,11
2,16,25
2,17,23
2,18,24
2,19,43
2,20,44
3,1,41
3,2,7
4,1,41
4,2,8
5,1,41
5,2,9
6,1,41
6,2,25
7,1,41
7,2,42
8,1,41
8,2,4
9,1,41
9,2,22
10,1,41
10,2,43
11,1,41
11,2,44
12,1,41
12,2,5
13,1,1
13,2,24
14,1,1
14,2,23
15,1,1
15,2,18
16,1,41
16,2,30
16,3,31
1,1,41
1,2,3
1,3,5
1,4,4
1,5,22
1,6,7
1,7,8
1,8,9
1,9,42
1,10,10
1,11,13
1,12,18
1,13,25
1,14,24
1,15,23
1,16,43
1,17,44
