TeamNumber,GameNumber,GStatNumber,GameDate,GameType,Location,Innings,HomeTeam,Opponent,OpponentTeamNumber,OpponentGStatNumber,DP,Runs,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningX,OppRuns,OppRunsInning1,OppRunsInning2,OppRunsInning3,OppRunsInning4,OppRunsInning5,OppRunsInning6,OppRunsInning7,OppRunsInning8,OppRunsInning9,OppRunsInningX,Notes
36,1,4,"01/05/11 00:00:00",1,"Buffalo Glen",7,1,"Canucks W11",40,0,0,14,1,2,2,0,0,3,6,0,0,0,16,2,5,3,0,5,0,1,0,0,0,
36,2,62,"01/07/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,12,6,0,1,0,0,0,5,0,0,0,16,0,3,3,2,3,5,0,0,0,0,
36,3,65,"01/12/11 00:00:00",1,"Buffalo Glen",5,1,"Avalanche W11",37,0,0,26,5,6,6,3,6,0,0,0,0,0,10,0,3,1,4,2,0,0,0,0,0,
36,4,79,"01/19/11 00:00:00",1,"Buffalo Glen",7,1,"Vipers W11",43,0,0,15,3,5,0,4,3,0,0,0,0,0,23,0,0,0,4,0,6,13,0,0,0,
36,5,95,"02/02/11 00:00:00",1,"Buffalo Glen",7,1,"Flames W11",41,0,0,16,1,5,1,1,0,5,3,0,0,0,24,5,4,1,0,3,3,8,0,0,0,
36,6,96,"02/04/11 00:00:00",1,"Buffalo Glen",7,0,"Canucks W11",40,0,0,12,1,0,3,1,5,0,2,0,0,0,17,3,3,3,5,0,3,0,0,0,0,
36,7,109,"02/09/11 00:00:00",1,"Buffalo Glen",6,1,"Hurricanes W11",38,0,0,22,5,2,1,5,5,4,0,0,0,0,7,1,0,4,0,2,0,0,0,0,0,
36,8,118,"02/11/11 00:00:00",1,"Buffalo Glen",7,0,"Avalanche W11",37,0,0,16,2,5,4,1,3,0,1,0,0,0,18,5,3,1,2,6,1,0,0,0,0,
36,9,125,"02/16/11 00:00:00",1,"Buffalo Glen",7,1,"Bruins W11",39,0,0,20,3,6,3,0,1,5,2,0,0,0,19,4,5,0,0,0,3,7,0,0,0,
36,10,128,"02/18/11 00:00:00",1,"Buffalo Glen",7,0,"Vipers W11",43,0,0,11,1,1,1,3,0,5,0,0,0,0,14,2,0,5,0,3,4,0,0,0,0,
36,11,137,"02/23/11 00:00:00",1,"Buffalo Glen",7,1,"Wings W11",44,0,0,20,4,5,1,5,5,0,0,0,0,0,18,0,6,0,4,4,4,0,0,0,0,
36,12,146,"02/25/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,18,4,3,2,1,1,3,4,0,0,0,3,0,0,0,0,0,1,2,0,0,0,
36,13,164,"03/04/11 00:00:00",1,"Buffalo Glen",7,0,"Flames W11",41,0,0,17,5,1,2,0,0,2,7,0,0,0,12,0,0,0,5,5,0,2,0,0,0,
36,14,175,"03/09/11 00:00:00",1,"Buffalo Glen",7,1,"Canucks W11",40,0,0,11,4,0,0,3,1,1,2,0,0,0,12,3,1,3,3,0,0,2,0,0,0,
36,15,176,"03/11/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,14,1,3,5,2,3,0,0,0,0,0,16,2,5,0,5,0,4,0,0,0,0,
36,16,187,"03/16/11 00:00:00",1,"Buffalo Glen",7,1,"Avalanche W11",37,0,0,12,0,2,4,1,5,0,0,0,0,0,11,5,3,1,0,0,1,1,0,0,0,
36,17,192,"03/18/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,22,2,5,5,2,5,3,0,0,0,0,11,1,3,3,0,1,0,3,0,0,0,
36,18,201,"03/23/11 00:00:00",1,"Buffalo Glen",7,1,"Vipers W11",43,0,0,10,1,2,1,2,0,4,0,0,0,0,9,5,1,0,1,2,0,0,0,0,0,
36,19,210,"03/25/11 00:00:00",1,"Buffalo Glen",8,0,"Wings W11",44,0,0,26,5,3,5,4,0,4,0,5,0,0,23,4,0,4,4,0,4,5,2,0,0,
36,20,223,"03/30/11 00:00:00",1,"Buffalo Glen",7,1,"Panthers W11",42,0,0,10,4,0,0,0,0,6,0,0,0,0,16,5,1,4,0,0,5,1,0,0,0,
37,1,58,"01/07/11 00:00:00",1,"Buffalo Glen",7,0,"Canucks W11",40,0,0,15,2,5,1,0,2,0,5,0,0,0,11,2,0,3,5,1,0,0,0,0,0,
37,2,64,"01/12/11 00:00:00",1,"Buffalo Glen",5,0,"Mighty Ducks W11",36,0,0,10,0,3,1,4,2,0,0,0,0,0,26,5,6,6,3,6,0,0,0,0,0,
37,3,74,"01/19/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,9,0,0,5,2,2,0,0,0,0,0,10,0,0,0,0,5,5,0,0,0,0,
37,4,85,"01/28/11 00:00:00",1,"Buffalo Glen",7,1,"Bruins W11",39,0,0,11,0,0,5,4,1,1,0,0,0,0,16,5,0,5,5,0,0,1,0,0,0,
37,5,93,"02/02/11 00:00:00",1,"Buffalo Glen",7,1,"Wings W11",44,0,0,20,4,4,5,2,1,4,0,0,0,0,16,5,0,2,5,1,0,3,0,0,0,
37,6,105,"02/09/11 00:00:00",1,"Buffalo Glen",9,1,"Canucks W11",40,0,0,20,0,1,5,0,5,0,3,5,1,0,19,5,0,3,1,5,0,0,5,0,0,
37,7,119,"02/11/11 00:00:00",1,"Buffalo Glen",7,1,"Mighty Ducks W11",36,0,0,18,5,3,1,2,6,1,0,0,0,0,16,2,5,4,1,3,0,1,0,0,0,
37,8,127,"02/16/11 00:00:00",1,"Buffalo Glen",7,1,"Vipers W11",43,0,0,12,0,0,6,0,5,1,0,0,0,0,5,0,0,0,3,1,0,1,0,0,0,
37,9,135,"02/18/11 00:00:00",1,"Buffalo Glen",7,1,"Panthers W11",42,0,0,15,5,0,5,5,0,0,0,0,0,0,12,1,0,3,1,3,1,3,0,0,0,
37,10,138,"02/23/11 00:00:00",1,"Buffalo Glen",7,0,"Flames W11",41,0,0,15,5,0,3,1,2,4,0,0,0,0,13,1,0,5,0,2,0,5,0,0,0,
37,11,144,"02/25/11 00:00:00",1,"Buffalo Glen",7,0,"Hurricanes W11",38,0,0,19,0,5,0,2,1,0,11,0,0,0,7,0,0,1,2,3,0,1,0,0,0,
37,12,156,"03/02/11 00:00:00",1,"Buffalo Glen",7,0,"Bruins W11",39,0,0,14,5,0,1,0,1,1,6,0,0,0,17,5,4,0,3,0,5,0,0,0,0,
37,13,162,"03/04/11 00:00:00",1,"Buffalo Glen",7,0,"Wings W11",44,0,0,15,4,5,2,2,2,0,0,0,0,0,10,0,0,6,1,0,2,1,0,0,0,
37,14,182,"03/11/11 00:00:00",1,"Buffalo Glen",7,0,"Canucks W11",40,0,0,14,0,3,5,0,2,0,4,0,0,0,15,5,2,5,0,0,3,0,0,0,0,
37,15,186,"03/16/11 00:00:00",1,"Buffalo Glen",7,0,"Mighty Ducks W11",36,0,0,11,5,3,1,0,0,1,1,0,0,0,12,0,2,4,1,5,0,0,0,0,0,
37,16,195,"03/18/11 00:00:00",1,"Buffalo Glen",7,1,"Vipers W11",43,0,0,11,2,2,0,1,3,1,2,0,0,0,13,2,0,1,1,3,5,1,0,0,0,
37,17,204,"03/23/11 00:00:00",1,"Buffalo Glen",7,0,"Panthers W11",42,0,0,10,0,0,3,5,0,0,2,0,0,0,11,5,0,0,0,3,2,1,0,0,0,
