Season,PA,2B,3B,HR,XBH,2B_per_100_PA,3B_per_100_PA,HR_per_100_PA,XBH_per_100_PA
W26,8907,1242,332,475,2049,13.94,3.73,5.33,23.00
F25,10938,1415,313,432,2160,12.94,2.86,3.95,19.75
S25,6743,754,180,270,1204,11.18,2.67,4.00,17.86
W25,14215,1642,417,461,2520,11.55,2.93,3.24,17.73
F24,10168,959,242,184,1385,9.43,2.38,1.81,13.62
S24,5795,555,154,98,807,9.58,2.66,1.69,13.93
W24,14240,1479,442,355,2276,10.39,3.10,2.49,15.98
F23,10030,870,255,238,1363,8.67,2.54,2.37,13.59
S23,4676,517,144,140,801,11.06,3.08,2.99,17.13
W23,14513,1414,424,366,2204,9.74,2.92,2.52,15.19
TOTAL (Last 10),100225,10847,2903,3019,16769,10.82,2.90,3.01,16.73
