ReportIDNumber,DetailLineNumber,TeamOrDate,Inn1,Inn2,Inn3,Inn4,Inn5,Inn6,Inn7,Inn8,Inn9,Inn10,FinalScore
1,1,"       Wednesday, January 8th, 2025",,,,,,,,,,,
1,2,"Warhawks (H)","1","1","5","4","0","2","3","0","0",,"16"
1,3,"Buckeyes (H)","1","1","1","2","2","4","2","0","0",,"13"
1,4,,,,,,,,,,,,
1,5,"       Friday, January 10th, 2025",,,,,,,,,,,
1,6,"Buckeyes (H)","3","5","1","5","4","2","0","0","0",,"20"
1,7,"Clippers (H)","3","0","0","5","2","0","0","0","0",,"10"
1,8,,,,,,,,,,,,
1,9,"       Wednesday, January 15th, 2025",,,,,,,,,,,
1,10,"Buckeyes (H)","3","5","5","0","5","5","13","0","0",,"36"
1,11,"Gunslingers (L)","5","0","1","1","3","6","0","0","0",,"16"
1,12,,,,,,,,,,,,
1,13,"       Friday, January 17th, 2025",,,,,,,,,,,
1,14,"Rebels (H)","1","2","2","0","4","3","1","0","0",,"13"
1,15,"Buckeyes (H)","5","5","0","2","5","0","0","0","0",,"17"
1,16,,,,,,,,,,,,
1,17,"       Wednesday, January 29th, 2025",,,,,,,,,,,
1,18,"Buckeyes (H)","5","1","0","5","2","0","6","0","0",,"19"
1,19,"Wolverines (H)","2","5","3","2","1","2","5","0","0",,"20"
1,20,,,,,,,,,,,,
1,21,"       Friday, January 31st, 2025",,,,,,,,,,,
1,22,"Norsemen (H)","1","2","5","0","2","5","0","0","0",,"15"
1,23,"Buckeyes (H)","1","0","0","1","0","3","2","0","0",,"7"
1,24,,,,,,,,,,,,
1,25,"       Wednesday, February 5th, 2025",,,,,,,,,,,
1,26,"Buckeyes (H)","0","3","1","0","2","1","1","0","0",,"8"
1,27,"Renegades (L)","1","0","4","5","3","3","0","0","0",,"16"
1,28,,,,,,,,,,,,
1,29,"       Friday, February 7th, 2025",,,,,,,,,,,
1,30,"Buckeyes (H)","0","1","4","2","3","1","0","0","0",,"11"
1,31,"Xtreme (H)","3","0","5","0","5","5","0","0","0",,"18"
1,32,,,,,,,,,,,,
1,33,"       Wednesday, February 12th, 2025",,,,,,,,,,,
1,34,"Death Stars (L)","5","3","0","0","5","2","0","0","0",,"15"
1,35,"Buckeyes (H)","0","0","1","2","1","1","0","0","0",,"5"
1,36,,,,,,,,,,,,
1,37,"       Friday, February 14th, 2025",,,,,,,,,,,
1,38,"Buckeyes (H)","1","3","1","2","3","3","1","3","0",,"17"
1,39,"Warhawks (H)","5","1","1","1","4","1","1","5","0",,"19"
1,40,,,,,,,,,,,,
1,41,"       Wednesday, February 19th, 2025",,,,,,,,,,,
1,42,"Buckeyes (H)","0","0","2","5","4","0","6","0","0",,"17"
1,43,"Raptors (L)","0","2","5","5","0","3","3","0","0",,"18"
1,44,,,,,,,,,,,,
1,45,"       Friday, February 21st, 2025",,,,,,,,,,,
1,46,"Clippers (H)","4","5","1","5","0","0","12","0","0",,"27"
1,47,"Buckeyes (H)","5","3","5","0","5","2","4","0","0",,"24"
1,48,,,,,,,,,,,,
1,49,"       Wednesday, February 26th, 2025",,,,,,,,,,,
1,50,"Buckeyes (H)","0","1","5","0","4","0","5","0","0",,"15"
1,51,"Rebels (H)","0","5","1","5","0","0","5","0","0",,"16"
1,52,,,,,,,,,,,,
1,53,"       Friday, February 28th, 2025",,,,,,,,,,,
1,54,"Hitmen (L)","2","0","1","4","0","0","0","0","0",,"7"
1,55,"Buckeyes (H)","5","2","1","5","0","4","0","0","0",,"17"
1,56,,,,,,,,,,,,
1,57,"       Wednesday, March 5th, 2025",,,,,,,,,,,
1,58,"Buckeyes (H)","5","0","1","5","0","5","4","0","0",,"20"
1,59,"Lightning Strikes (H)","3","3","1","0","4","0","1","0","0",,"12"
1,60,,,,,,,,,,,,
1,61,"       Friday, March 7th, 2025",,,,,,,,,,,
1,62,"Wolverines (H)","3","0","4","4","3","2","1","0","0",,"17"
1,63,"Buckeyes (H)","5","2","1","4","5","5","0","0","0",,"22"
1,64,,,,,,,,,,,,
1,65,"       Wednesday, March 12th, 2025",,,,,,,,,,,
1,66,"Buckeyes (H)","5","5","1","5","5","3","5","0","0",,"29"
1,67,"Team USA (L)","4","5","0","5","0","2","14","0","0",,"30"
1,68,,,,,,,,,,,,
1,69,"       Friday, March 14th, 2025",,,,,,,,,,,
1,70,"Cavaliers (L)","2","0","2","3","5","0","1","0","0",,"13"
1,71,"Buckeyes (H)","5","1","5","2","4","5","0","0","0",,"22"
1,72,,,,,,,,,,,,
1,73,"       Wednesday, March 19th, 2025",,,,,,,,,,,
1,74,"Buckeyes (H)","0","3","1","0","2","1","0","0","0",,"7"
1,75,"Norsemen (H)","3","0","5","1","4","2","0","0","0",,"15"
1,76,,,,,,,,,,,,
1,77,"       Friday, March 21st, 2025",,,,,,,,,,,
1,78,"Xtreme (H)","0","3","2","0","2","4","0","0","0",,"11"
1,79,"Buckeyes (H)","5","4","5","0","0","1","0","0","0",,"15"
1,80,,,,,,,,,,,,
1,81,"       Wednesday, March 26th, 2025",,,,,,,,,,,
1,82,"Lightning Strikes (H)","1","0","5","1","5","0","0","0","0",,"12"
