StatType,Stat,CategoryNumber,Format
2,"GF",26,0
2,"CG",27,0
2,"W",28,0
2,"L",29,0
2,"Sv",30,0
2,"Sho",31,0
2,"ERA",32,2
2,"BA",33,3
2,"OBP",34,3
2,"Slg",35,3
2,"SOG",36,1
2,"WHIP",37,1
2,"SPct",38,3
2,"US1",41,3
2,"US2",42,3
2,"US3",43,3
2,"US4",44,3
2,"US5",45,3
2,"U1",46,0
2,"U2",47,0
2,"U3",48,0
2,"U4",49,0
2,"U5",50,0
3,"G",1,0
3,"C",2,0
3,"PO",3,0
3,"A",4,0
3,"E",5,0
3,"DP",6,0
3,"PB",7,0
3,"SB",8,0
3,"CS",9,0
3,"CSA",10,3
3,"Rng",11,2
3,"FA",12,3
3,"US1",41,3
3,"US2",42,3
3,"US3",43,3
3,"US4",44,3
3,"US5",45,3
3,"U1",46,0
3,"U2",47,0
3,"U3",48,0
3,"U4",49,0
3,"U5",50,0
1,"G",1,0
1,"PA",2,0
1,"AB",3,0
1,"R",4,0
1,"H",5,0
1,"S",6,0
1,"D",7,0
1,"T",8,0
1,"HR",9,0
1,"TB",10,0
1,"OE",11,0
1,"FC",12,0
1,"BB",13,0
1,"HP",14,0
1,"CO",15,0
1,"SO",16,0
1,"SH",17,0
1,"SF",18,0
1,"SB",19,0
1,"CS",20,0
1,"DP",21,0
1,"RBI",22,0
1,"Slg",23,3
1,"OBP",24,3
1,"BA",25,0
1,"RC",26,1
1,"TA",27,3
1,"PP",28,3
1,"SBA",29,3
1,"CHS",30,0
1,"LHS",31,0
1,"US1",41,3
1,"US2",42,3
1,"US3",43,3
1,"US4",44,3
1,"US5",45,3
1,"U1",46,0
1,"U2",47,0
1,"U3",48,0
1,"U4",49,0
1,"U5",50,0
2,"G",1,0
2,"IP",2,0
2,"IP3",3,0
2,"R",4,0
2,"ER",5,0
2,"BF",6,0
2,"AB",7,0
2,"H",8,0
2,"D",9,0
2,"T",10,0
2,"HR",11,0
2,"TB",12,0
2,"BB",13,0
2,"HB",14,0
2,"CO",15,0
2,"SO",16,0
2,"SH",17,0
2,"SF",18,0
2,"WP",19,0
2,"Bk",20,0
2,"PO",21,0
2,"B",22,0
2,"S",23,0
2,"TP",24,0
2,"GS",25,0
