OptionNumber,Option,OptionDescription
0,0,
1,-1,"Include OE in OBP"
2,0,"Include FC in OBP"
3,9,"ERA Innings"
4,-1,"Show Pictures"
5,-1,"Show Team Filters"
6,-1,"Show Score by Innings"
7,-1,"Show Toolbar"
8,0,"Edit Batting Runs to Game Screen"
9,0,"Edit Pitching Runs to Game Screen"
10,0,"Edit BF for Pitchers"
11,0,"Format Name"
12,0,"Show Player Number"
13,-1,"Show Commas in Numbers"
14,0,"Show ""NA"" for Statistics"
15,0,"Advanced Data Entry - Batting"
16,0,"Advanced Data Entry - Pitching"
17,0,"Advanced Data Entry - Fielding"
18,0,"Show Format Hint Message"
19,0,"Update Opponents"
20,0,"Display Opponents"
21,2,"Dis Mode Opp Box Scores"
70,-1,"Color Spray Charts"
71,-1,"RealTime Fielding"
72,-1,"RealTime Pitching"
73,-1,"RealTime Stolen Bases"
74,-1,"RealTime Balls and Strikes"
75,-1,"RealTime WP, PO and Bk"
76,-1,"RealTime Outs"
77,-1,"RealTime OE"
78,-1,"RealTime FC"
79,-1,"RealTime HP"
80,-1,"RealTime CO"
81,-1,"RealTime SH"
82,-1,"RealTime DP"
83,-1,"RealTime PR"
98,5685,"Lineup Screen Height"
99,9330,"Lineup Screen Width"
100,0,"RealTime Entry"
101,8421440,"Background Color"
102,255,"Report Title Color"
103,10485760,"Report SubTitle Color"
104,0,"Report Column Headings Color"
105,0,"Report Details Color"
106,90,"Default Report Zoom"
107,-1,"Show Date on Reports"
109,0,
110,53,
111,1,
126,8421631,
127,16711680,
128,16711680,
129,8421631,
130,1,
131,1,
132,0,
133,50,
134,100,
135,0,
200,-1,"Show Box Score Batting"
201,0,"PA"
202,-1,"AB"
203,-1,"R"
204,-1,"H"
205,0,"1B"
206,-1,"2B"
207,-1,"3B"
208,-1,"HR"
209,-1,"TB"
210,-1,"OE"
211,0,"FC"
212,-1,"BB"
213,0,"HP"
214,0,"CO"
215,0,"SO"
216,0,"SH"
217,-1,"SF"
218,0,"DP"
219,0,"SB"
220,0,"CS"
221,-1,"RBI"
222,0,"OBP"
223,0,"Slg"
224,-1,"BA"
300,-1,"Show Box Score Pitching"
301,-1,"IP"
302,0,"R"
303,0,"ER"
304,0,"BF"
305,0,"AB"
306,0,"H"
307,0,"2B"
308,0,"3B"
309,0,"HR"
310,-1,"BB"
311,0,"HB"
312,0,"SO"
313,0,"SH"
314,0,"SF"
315,0,"WP"
316,0,"Bk"
317,0,"PO"
318,0,"B"
319,0,"S"
320,0,"TP"
321,0,"OBP"
322,0,"Slg"
323,0,"BA"
324,0,"ERA"
400,3975,"Picture Height"
401,6000,"Picture Width"
405,0,"Player Entry Sort Order"
